OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
13525,Idaho Panhandle National Forests,170103040203,Lower North Fork St Joe River,Functioning Properly,23742.8,100,0,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,23739.424
13557,Beaverhead-Deerlodge National Forest,100200070806,Cherry Creek,Functioning Properly,11849.300000000001,65,35,Poor,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,7748.991
13565,Kootenai National Forest,170102131005,Swamp Creek,Functioning Properly,22930.5,87,13,Fair,Good,Fair,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,19953.503
13590,Idaho Panhandle National Forests,170103040502,Bussel Creek,Functioning at Risk,14776.2,83,17,Good,Fair,Fair,Good,Fair,Poor,Good,Good,Fair,Good,Good,Good,,,,,,,,,,,,0104,,,,12330.259
13600,Idaho Panhandle National Forests,170103040501,Upper Marble Creek,Functioning Properly,26747.0,89,11,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,23842.378
13654,Beaverhead-Deerlodge National Forest,100200071207,Jourdain Creek,Functioning Properly,10017.0,59,41,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,5873.857
13700,Beaverhead-Deerlodge National Forest,100200020104,Swamp Creek-Grasshopper Creek,Functioning Properly,28461.8,30,70,Poor,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,8562.401
13703,Kootenai National Forest,170101030403,Hellroaring Creek,Functioning Properly,10750.6,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,10750.584
13706,Kootenai National Forest,170101030505,Kilbrennan Creek-Yaak River,Functioning Properly,28058.7,93,7,Fair,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,26055.425
13714,Beaverhead-Deerlodge National Forest,170102010706,Cottonwood Creek,Functioning Properly,26480.5,70,30,Fair,Good,Good,Good,Fair,Fair,Good,Good,Good,Fair,Good,Fair,,,,,,,,,,,,0102,,,,18507.672
