OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
1552,Idaho Panhandle National Forests,170101040404,Twentymile Creek,Functioning Properly,16447.3,32,68,Fair,Fair,Good,Good,Fair,Fair,Good,Good,Good,Good,Fair,Fair,,,,,,,,,,,,0104,,,,5244.866
1639,Beaverhead-Deerlodge National Forest,170102010202,Blacktail Creek,Functioning at Risk,24509.600000000002,59,41,Fair,Fair,Good,Good,Fair,Poor,Good,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0102,,,,14434.882000000001
1798,Flathead National Forest,170102070202,Middle Fork Flathead River-Lake Creek,Functioning Properly,26637.600000000002,99,1,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Good,----,,,,,,,,,,,,0110,,,,26490.412
1849,Lolo National Forest,170102040206,Rock Creek,Functioning Properly,8874.9,47,53,Good,Fair,Fair,Good,Fair,Fair,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,4169.337
1861,Idaho Panhandle National Forests,170103010402,Lost Creek,Functioning Properly,15511.0,100,0,Good,Fair,Fair,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,15511.025000000001
1893,Lolo National Forest,170102040804,Upper St. Regis River,Functioning at Risk,24290.9,95,6,Fair,Fair,Fair,Fair,Fair,Poor,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,22960.48
1895,Custer Gallatin National Forest,100700020903,Fourmile Creek,Functioning Properly,20118.0,100,0,Fair,Good,Poor,Good,Good,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,20068.959
1946,Bitterroot National Forest,170102051504,Sweeney Creek,Functioning Properly,12174.4,92,8,Fair,Good,Good,Poor,Good,Good,Good,Fair,Good,Good,Poor,Fair,,,,,,,,,,,,0103,,,,11240.679
2066,Helena-Lewis And Clark National Forest,100301021302,Upper Highwood Creek,Functioning at Risk,18921.0,21,79,Poor,Fair,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0115,,,,4051.0150000000003
2122,Idaho Panhandle National Forests,170103030301,Cedar Creek,Functioning at Risk,10126.7,89,11,Fair,Fair,Poor,Good,Poor,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,9022.963
2208,Helena-Lewis And Clark National Forest,170102030704,Ward Creek,Functioning at Risk,8096.3,29,71,Fair,Fair,Good,Good,Good,Fair,Good,Poor,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,2321.789
2244,Lolo National Forest,170102040702,Dry Creek,Functioning at Risk,28732.4,96,4,Fair,Fair,Fair,Fair,Fair,Poor,Good,Fair,Good,Good,Good,----,,,,,,,,,,,,0116,,,,27495.974000000002
2281,Lolo National Forest,170102040210,Clark Fork River-Roman Creek,Functioning at Risk,37353.0,31,69,Poor,Fair,Fair,Good,Fair,Fair,Good,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0116,,,,11639.836
2378,Custer Gallatin National Forest,101303020601,Headwaters of Big Nasty Creek,Functioning Properly,13437.800000000001,7,93,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,962.951
2411,Nez Perce-Clearwater National Forest,170603050501,Whiskey Creek-South Fork Clearwater River,Functioning at Risk,14567.9,70,30,Good,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Fair,Good,Good,----,,,,,,,,,,,,0117,,,,10215.642
2432,Helena-Lewis And Clark National Forest,100301010703,South Fork Crow Creek,Functioning at Risk,10475.6,98,2,Fair,Fair,Good,Good,Poor,Poor,Fair,Good,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,10227.577
2457,Helena-Lewis And Clark National Forest,100401030701,Middle Fork Big Spring Creek,Functioning Properly,15776.1,6,94,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Fair,Fair,,,,,,,,,,,,0115,,,,927.428
2469,Nez Perce-Clearwater National Forest,170603010503,Lower Running Creek,Functioning Properly,17715.100000000002,100,0,Fair,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Fair,Poor,,,,,,,,,,,,0117,,,,17700.215
2474,Idaho Panhandle National Forests,170103020303,Bear Creek-South Fork Coeur d'Alene River,Functioning at Risk,37697.3,21,79,Fair,Fair,Poor,Good,Fair,Fair,Good,Good,Fair,Good,Good,Good,,,,,,,,,,,,0104,,,,7856.529
2479,Idaho Panhandle National Forests,170103010104,Lower North Fork Coeur d'Alene River,Functioning Properly,14278.300000000001,99,1,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,14160.689
2658,Nez Perce-Clearwater National Forest,170603010702,Ditch Creek,Functioning Properly,11571.9,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,11569.576000000001
2665,Custer Gallatin National Forest,100901020303,Home Creek,Functioning at Risk,37808.6,75,25,Fair,Fair,Good,Fair,Fair,Fair,Fair,Good,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,28217.634
2745,Custer Gallatin National Forest,100200080401,North Fork Spanish Creek,Functioning Properly,20788.4,46,54,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,9543.664
2818,Custer Gallatin National Forest,100700010708,Buffalo Creek,Functioning Properly,38982.0,72,28,Poor,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,28040.811
2844,Bitterroot National Forest,170102050101,Deer Creek,Functioning Properly,14527.6,100,0,Fair,Good,Good,Good,Good,Good,Good,Fair,Good,Fair,Poor,Fair,,,,,,,,,,,,0103,,,,14508.891
2859,Custer Gallatin National Forest,100700010706,Middle Slough Creek,Functioning Properly,36802.8,94,6,Fair,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,34503.721
2928,Beaverhead-Deerlodge National Forest,170102020804,Middle Middle Fork Rock Creek,Functioning Properly,13982.2,98,2,Fair,Good,Good,Good,Good,Fair,Good,Fair,Fair,Fair,Good,Good,,,,,,,,,,,,0102,,,,13721.187
2987,Helena-Lewis And Clark National Forest,170102010502,Little Blackfoot River-Larabee Gulch,Functioning at Risk,18171.2,100,0,Fair,Fair,Poor,Good,Good,Fair,Fair,Poor,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,18101.774
3017,Custer Gallatin National Forest,100700020203,Lower Big Creek,Functioning Properly,22648.600000000002,72,28,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,16296.893
3267,Nez Perce-Clearwater National Forest,170603070901,Upper Skull Creek,Functioning Properly,17942.2,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,----,,,,,,,,,,,,0117,,,,17941.765
3274,Dakota Prairie Grasslands,101102050204,Upper Bennett Creek,Functioning at Risk,38089.8,43,57,Fair,Fair,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,16469.408
3313,Helena-Lewis And Clark National Forest,100401030709,Cottonwood Creek,Functioning Properly,37254.6,44,56,Poor,Good,Good,Good,Good,Good,Good,Fair,Poor,Good,Fair,Good,,,,,,,,,,,,0115,,,,16266.915
3341,Custer Gallatin National Forest,100700021204,Rye Creek-Sweet Grass Creek,Functioning Properly,30179.4,8,92,Poor,Good,Fair,Good,Good,Good,Poor,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,2486.038
3396,Nez Perce-Clearwater National Forest,170603010605,Middle Bear Creek,Functioning Properly,16446.4,100,0,Good,Good,Good,Good,Good,Good,Fair,Poor,Good,Good,Poor,Fair,,,,,,,,,,,,0117,,,,16446.375
3445,Custer Gallatin National Forest,100200080201,South Fork West Fork Gallatin River,Functioning Properly,29788.600000000002,36,64,Good,Good,Fair,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,10798.175
3473,Nez Perce-Clearwater National Forest,170602090401,Race Creek,Functioning at Risk,18419.2,67,33,Good,Poor,Good,Good,Fair,Poor,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,12294.162
3481,Dakota Prairie Grasslands,101303030505,First Creek-Black Horse Butte Creek,Functioning Properly,16007.2,66,34,Fair,Good,Good,Good,Good,Poor,Good,Good,----,Good,Good,Good,,,,,,,,,,,,0118,,,,10622.908
3609,Bitterroot National Forest,170102050805,Rock Creek,Functioning Properly,36694.700000000004,96,4,Fair,Fair,Good,Fair,Good,Good,Good,Fair,Good,Good,Fair,Fair,,,,,,,,,,,,0103,,,,35297.347
3643,Helena-Lewis And Clark National Forest,170102010602,Snowshoe Creek,Functioning at Risk,11614.800000000001,31,69,Fair,Poor,Poor,Good,Poor,Poor,Good,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,3551.076
3790,Lolo National Forest,170102040507,Lower South Fork Fish Creek,Functioning at Risk,33160.9,49,51,Fair,Fair,Good,Good,Fair,Fair,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,16289.657
3874,Nez Perce-Clearwater National Forest,170601010103,Granite Creek,Functioning Properly,21418.3,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0117,,,,21418.306
3923,Helena-Lewis And Clark National Forest,100301030504,Cottonwood Creek,Impaired Function,25848.7,28,72,Poor,Poor,Poor,Fair,Poor,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,7182.34
3990,Idaho Panhandle National Forests,170102150203,Blacktail Creek-Granite Creek,Functioning at Risk,22545.5,91,9,Fair,Fair,Fair,Good,Poor,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,20503.698
4011,Custer Gallatin National Forest,100200080103,Snowslide Creek-Gallatin River,Functioning Properly,37224.8,44,56,Poor,Good,Good,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0111,,,,16500.556
4027,Flathead National Forest,170102090707,Hungry Horse Reservoir-Aurora Creek,Functioning at Risk,10346.4,98,2,Fair,Good,Fair,Poor,Poor,Good,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,10132.572
4103,Custer Gallatin National Forest,100700020906,West Chippy Creek-Boulder River,Functioning Properly,20829.2,97,3,Fair,Good,Poor,Good,Good,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,20187.417
4162,Lolo National Forest,170102130504,Boyer Creek,Functioning at Risk,7882.400000000001,18,82,Poor,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Fair,,,,,,,,,,,,0116,,,,1433.7350000000001
4365,Nez Perce-Clearwater National Forest,170603050104,Lower Red River,Functioning at Risk,23932.100000000002,94,6,Good,Fair,Poor,Fair,Poor,Poor,Poor,Poor,Good,Fair,Good,----,,,,,,,,,,,,0117,,,,22579.686
4392,Nez Perce-Clearwater National Forest,170602090303,Upper Slate Creek,Functioning Properly,10659.7,100,0,Fair,Good,Good,Good,Good,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0117,,,,10659.743
4397,Nez Perce-Clearwater National Forest,170603070206,Lower Cayuse Creek,Functioning Properly,14199.7,100,0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,14199.713
4479,Beaverhead-Deerlodge National Forest,100200020201,Upper Rattlesnake Creek,Functioning at Risk,15931.800000000001,100,0,Fair,Fair,Poor,Fair,Good,Fair,Good,Good,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,15931.632000000001
4595,Custer Gallatin National Forest,100200071401,Upper Cherry Creek,Functioning Properly,13264.9,81,19,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,10790.423
4614,Nez Perce-Clearwater National Forest,170603020307,Lower Meadow Creek,Functioning Properly,31600.5,100,0,Good,Good,Good,Good,Good,Fair,Fair,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,31600.466
4657,Beaverhead-Deerlodge National Forest,100200010803,Lower Big Sheep Creek,Functioning Properly,15125.300000000001,29,71,Poor,Good,Good,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,4435.717000000001
4661,Beaverhead-Deerlodge National Forest,100200020303,East Fork Blacktail Deer Creek,Functioning Properly,39055.200000000004,40,60,Fair,Fair,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,15531.414
4737,Idaho Panhandle National Forests,170103020102,Canyon Creek-Upper South Fork Coeur d'Alene River,Impaired Function,21885.100000000002,23,77,Poor,Poor,Poor,Good,Poor,Poor,Poor,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,5076.885
4791,Custer Gallatin National Forest,100700021406,Upper Bridger Creek,Functioning Properly,17524.3,36,64,Poor,Good,Good,Good,Good,Good,Poor,Good,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,6283.085
4893,Flathead National Forest,170102090505,Middle Fork Flathead River-Harrison Creek,Functioning Properly,26868.0,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,26868.036
4956,Lolo National Forest,170102040505,North Fork Fish Creek,Functioning Properly,27012.0,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,----,,,,,,,,,,,,0116,,,,27012.011
4968,Helena-Lewis And Clark National Forest,100301030103,Lake Sutherlin-North Fork Smith River,Functioning at Risk,22524.100000000002,7,94,Good,Fair,Good,Fair,Good,Fair,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,1465.1470000000002
4976,Beaverhead-Deerlodge National Forest,100200040803,Toomey Creek-Big Hole River,Functioning at Risk,35319.3,46,54,Poor,Fair,Fair,Good,Good,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,16092.595000000001
5080,Custer Gallatin National Forest,100200070203,Upper South Fork Madison River,Functioning Properly,31715.2,55,45,Fair,Good,Good,Good,Fair,Fair,Poor,Good,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,17578.565000000002
5162,Lolo National Forest,170102030803,Dick Creek,Functioning Properly,20462.2,49,51,Good,Fair,Good,Good,Fair,Fair,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,10042.741
5298,Dakota Prairie Grasslands,101102050305,Dry Creek,Functioning Properly,16241.5,69,31,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,11176.909
5326,Dakota Prairie Grasslands,101102030202,Cannonball Creek,Functioning at Risk,32521.0,14,86,Fair,Fair,Good,Fair,Good,Poor,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,4433.868
5360,Beaverhead-Deerlodge National Forest,100200030307,Greenhorn Creek,Functioning Properly,14090.800000000001,72,29,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,10074.453
5411,Nez Perce-Clearwater National Forest,170602090501,McKinzie Creek-Salmon River,Functioning at Risk,19754.5,24,76,Good,Poor,Good,Fair,Fair,Poor,Fair,Fair,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,4750.827
5415,Nez Perce-Clearwater National Forest,170603010604,Paradise Creek,Functioning Properly,21334.600000000002,100,0,Fair,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,21332.568
5664,Helena-Lewis And Clark National Forest,170102030202,Blackfoot River-Anaconda Creek,Impaired Function,17163.0,79,21,Poor,Fair,Poor,Poor,Poor,Poor,Good,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,13487.556
5821,Lolo National Forest,170102040807,MIddle St. Regis River,Functioning at Risk,12823.6,60,40,Poor,Fair,Fair,Good,Poor,Good,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,7712.529
6013,Idaho Panhandle National Forests,170102150602,Flat Creek-Lower West Branch Priest River,Functioning at Risk,24436.0,85,15,Poor,Fair,Poor,Good,Fair,Poor,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,20807.688
6047,Idaho Panhandle National Forests,170102150105,Ruby Creek-Upper Priest River,Functioning Properly,33262.2,91,9,Good,Good,Fair,Good,Good,Good,Good,Fair,Good,Good,Good,----,,,,,,,,,,,,0104,,,,30119.585
6054,Custer Gallatin National Forest,101102011006,H S Creek,Functioning Properly,14229.300000000001,16,84,Good,Good,Good,Good,Good,Fair,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0111,,,,2320.346
6104,Beaverhead-Deerlodge National Forest,100200011104,Black Canyon Creek,Functioning Properly,19373.8,37,64,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,7071.519
6208,Nez Perce-Clearwater National Forest,170603071001,Quartz Creek,Functioning Properly,27930.3,100,0,Good,Fair,Fair,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,27930.265
6281,Dakota Prairie Grasslands,101102030902,Middle Andrews Creek,Functioning at Risk,17165.3,22,78,Fair,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,3795.8340000000003
6314,Dakota Prairie Grasslands,101102050105,Lower Beicegel Creek,Functioning at Risk,38287.0,65,35,Fair,Poor,Poor,Fair,Poor,Poor,Poor,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,24902.036
6339,Dakota Prairie Grasslands,101000042603,Antelope Creek,Functioning Properly,22528.100000000002,7,94,Fair,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Poor,Fair,,,,,,,,,,,,0118,,,,1462.556
6403,Beaverhead-Deerlodge National Forest,100200020503,Frying Pan Gulch,Functioning at Risk,23587.8,15,85,Poor,Fair,Good,Fair,Fair,Poor,Good,Good,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,3589.8720000000003
6706,Helena-Lewis And Clark National Forest,100401030103,Mud Creek,Functioning Properly,16879.8,11,89,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,1908.613
6973,Idaho Panhandle National Forests,170101040501,Upper Smith Creek,Functioning Properly,21677.5,75,25,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,,,,,,,,,,,,0104,,,,16209.014
7004,Helena-Lewis And Clark National Forest,100301030301,Upper Newlan Creek,Impaired Function,18941.8,84,16,Poor,Poor,Good,Poor,Poor,Poor,Fair,Fair,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,15862.153
7257,Helena-Lewis And Clark National Forest,100401020202,Lone Tree Creek,Functioning at Risk,25388.9,49,51,Poor,Fair,Good,Fair,Poor,Good,Good,Fair,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,12500.559000000001
7282,Helena-Lewis And Clark National Forest,170102030101,Upper Landers Fork,Functioning Properly,18683.2,100,0,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0115,,,,18657.775
7510,Helena-Lewis And Clark National Forest,170102030306,Willow Creek,Functioning at Risk,12102.4,49,51,Fair,Fair,Fair,Good,Good,Poor,Fair,Poor,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,5880.367
7614,Lolo National Forest,170102051408,Lolo Creek-Grave Creek,Impaired Function,35732.200000000004,61,39,Poor,Fair,Fair,Good,Fair,Fair,Good,Good,Fair,Fair,Fair,----,,,,,,,,,,,,0116,,,,21719.844
7759,Lolo National Forest,170102130303,Middle Little Thompson River,Functioning at Risk,18107.600000000002,71,29,Fair,Poor,Good,Good,Good,Fair,Good,Good,Good,Good,Fair,Fair,,,,,,,,,,,,0116,,,,12880.434000000001
7836,Kootenai National Forest,170101040203,Lime Creek-Kootenai River,Functioning Properly,16352.300000000001,66,34,Good,Poor,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Good,,,,,,,,,,,,0114,,,,10722.938
7867,Helena-Lewis And Clark National Forest,100301011606,Soup Creek,Functioning at Risk,13279.1,88,12,Fair,Fair,Good,Poor,Fair,Poor,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0115,,,,11673.583
7896,Dakota Prairie Grasslands,101102050408,Rough Creek,Functioning Properly,27141.0,55,45,Fair,Good,Good,Good,Good,Poor,Fair,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,15002.324
8129,Custer Gallatin National Forest,100700020404,Strawberry Creek-Yellowstone River,Functioning Properly,23989.0,19,81,Fair,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,4487.072
8186,Dakota Prairie Grasslands,101102050401,Headwaters Cherry Creek,Functioning at Risk,36791.4,8,93,Fair,Fair,Good,Poor,Poor,Poor,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,2741.306
8198,Custer Gallatin National Forest,100901020208,Elk Creek,Functioning at Risk,19754.100000000002,59,41,Fair,Fair,Good,Fair,Fair,Fair,Fair,Good,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,11702.502
8222,Helena-Lewis And Clark National Forest,100301030901,Two Creek-Smith River,Functioning at Risk,23276.7,17,83,Poor,Fair,Poor,Poor,Fair,Good,Fair,Fair,Good,Fair,Poor,----,,,,,,,,,,,,0115,,,,3947.157
8330,Beaverhead-Deerlodge National Forest,100200070904,Lower Bear Creek,Functioning Properly,17122.6,15,85,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,2519.905
8403,Flathead National Forest,170102060312,Spruce Creek-North Fork Flathead River,Functioning Properly,29497.7,8,92,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,----,,,,,,,,,,,,0110,,,,2462.87
8450,Bitterroot National Forest,170102050102,West Fork Bitterroot River-Beaver Creek,Functioning at Risk,36384.1,99,1,Fair,Fair,Fair,Good,Fair,Fair,Good,Fair,Good,Fair,Fair,Good,,,,,,,,,,,,0103,,,,36079.79
8518,Custer Gallatin National Forest,101303020408,Hay Creek-Bull Creek,Functioning Properly,12214.800000000001,8,93,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,922.124
8588,Flathead National Forest,170102090606,Graves Creek,Functioning Properly,22478.3,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Poor,----,,,,,,,,,,,,0110,,,,22395.814
8613,Helena-Lewis And Clark National Forest,100301040401,Gibson Reservoir,Functioning at Risk,23705.7,99,1,Fair,Good,Good,Poor,Good,Good,Poor,Good,Poor,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,23365.373
8783,Custer Gallatin National Forest,100200080506,Cascade Creek-Gallatin River,Functioning Properly,16874.9,99,1,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,16683.025
8801,Custer Gallatin National Forest,100200080505,Hell Roaring Creek,Functioning Properly,19065.100000000002,99,1,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,18873.534
8858,Lolo National Forest,170102030503,Canyon Creek,Functioning Properly,26785.0,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,----,,,,,,,,,,,,0116,,,,26784.174
8905,Dakota Prairie Grasslands,101000042602,Upper Charbonneau Creek,Functioning Properly,35829.0,6,94,Fair,Good,Fair,Good,Good,Poor,Fair,Good,Good,Good,Poor,Fair,,,,,,,,,,,,0118,,,,2261.8250000000003
8953,Flathead National Forest,170102090209,South Fork White River,Functioning Properly,10606.4,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,----,,,,,,,,,,,,0110,,,,10604.74
9094,Custer Gallatin National Forest,101102020508,Lampkin Gulch-Boxelder Creek,Functioning Properly,15205.4,23,77,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,3557.693
9188,Bitterroot National Forest,170603010405,Crooked Creek-Selway River,Functioning Properly,27262.4,100,0,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Poor,Fair,,,,,,,,,,,,0103,,,,27251.649
9280,Custer Gallatin National Forest,100700020402,McDonald Creek,Functioning Properly,12704.1,54,46,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,6876.118
9451,Custer Gallatin National Forest,100700020902,Headwaters Boulder River,Functioning Properly,13666.9,99,1,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,13514.481
9479,Nez Perce-Clearwater National Forest,170603030105,Boulder Creek-Crooked Fork Creek,Functioning Properly,15994.9,98,3,Good,Good,Good,Good,Good,Fair,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,15591.027
9643,Dakota Prairie Grasslands,090201050704,City of Wyndmere,Functioning at Risk,25315.4,19,81,Fair,Good,Good,Poor,Poor,Poor,Good,Good,----,Good,Poor,Fair,,,,,,,,,,,,0118,,,,4756.777
9691,Helena-Lewis And Clark National Forest,100302050201,South Fork Willow Creek,Functioning Properly,16849.2,10,90,Poor,Fair,Good,Fair,Good,Good,Good,Good,Good,Good,Fair,Good,,,,,,,,,,,,0115,,,,1675.173
9736,Idaho Panhandle National Forests,170101040703,Ball Creek,Functioning Properly,17184.5,99,1,Fair,Good,Poor,Good,Good,Good,Good,Good,Good,Good,Fair,Good,,,,,,,,,,,,0104,,,,17067.097
9853,Helena-Lewis And Clark National Forest,170102030601,Meadow Creek,Functioning Properly,11881.0,100,0,Fair,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0115,,,,11880.984
9976,Flathead National Forest,170102090103,Basin Creek,Functioning Properly,11722.300000000001,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,----,,,,,,,,,,,,0110,,,,11722.208
10047,Custer Gallatin National Forest,100700010806,Crevice Creek-Yellowstone River,Functioning Properly,31355.600000000002,36,65,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,11143.368
10056,Nez Perce-Clearwater National Forest,170603020204,Mink Creek,Functioning Properly,10241.5,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Fair,Good,Good,----,,,,,,,,,,,,0117,,,,10241.476
